value_sequence,finalLabel
0.00824 0.014343 0.014954 0.010681 0.005646 0.001373 -0.010071 -0.02243 -0.035706 -0.039673 -0.043335 -0.03479 -0.025482 -0.016174 -0.00885 -0.006409 -0.009766 -0.018311 -0.023651 -0.028229 -0.027161 -0.031128 -0.026398 -0.027313 -0.027618 -0.029755 -0.025787 -0.030212 -0.028534 -0.018921 -0.022278 -0.017853 -0.014648 -0.018768 -0.017242 -0.018616 -0.004883,0
0.017395 0.05661 0.103302 0.132751 0.206451 0.352783 0.597687 0.874634 0.948029 0.99823 1.011353 0.627289 -0.071411 -0.75119 -1.136932 -1.182098 -1.185303 -1.084595 -0.736694 -0.388184 -0.164032 -0.061951 -0.029907 -0.022736,1
-0.027161 -0.026093 -0.028229 -0.027771 -0.027924 -0.02243 -0.022888 -0.02182 -0.019379 -0.013123 -0.006256 -0.001678 0.001068 0.002594 0.003204 0.009766 0.016022 0.018463 0.009918 -0.001068 -0.023499 -0.044556 -0.053558 -0.053558 -0.044708 -0.033569 -0.03006 -0.023956 -0.03006 -0.041809 -0.054626 -0.050507 -0.043335 -0.003357,0
0.137787 0.426331 0.847015 1.196594 1.314392 1.21582 0.82077 0.22171 -0.384216 -0.93689 -1.184235 -1.36673 -1.194 -0.719452 -0.248566 -1e-05,1
0.0,0
-0.026245 -0.020447 -0.012665 -0.0177 -0.018921,0
0.011597 0.016327 0.032501,0
0.028992 -0.006409 -0.071411 -0.102234 -0.12558 -0.147705 -0.156555 -0.168915 -0.227509 -0.306854 -0.36026 -0.323639 -0.162048,0
-0.079498 -0.100861 -0.085907 -0.062714 -0.061646 -0.111847 -0.158386 -0.127869 -0.072174 -0.011292,0
0.0,0
